Event ID,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt
198,5,Firearms,5,Unknown Gun Type,,
199,6,Explosives,16,Unknown Explosive Type,,
200,5,Firearms,5,Unknown Gun Type,,
201,5,Firearms,5,Unknown Gun Type,9,Melee
202,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
203,6,Explosives,7,Grenade,,
204,5,Firearms,5,Unknown Gun Type,,
205,5,Firearms,5,Unknown Gun Type,,
206,5,Firearms,5,Unknown Gun Type,,
207,13,Unknown,,,,
208,6,Explosives,12,Remote Trigger,5,Firearms
209,6,Explosives,15,Vehicle,,
210,6,Explosives,16,Unknown Explosive Type,,
211,5,Firearms,6,Other Gun Type,5,Firearms
212,6,Explosives,12,Remote Trigger,,
213,6,Explosives,15,Vehicle,,
214,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
215,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
216,5,Firearms,5,Unknown Gun Type,,
217,6,Explosives,16,Unknown Explosive Type,,
218,6,Explosives,16,Unknown Explosive Type,,
219,9,Melee,23,Knife or Other Sharp Object,,
220,13,Unknown,,,,
221,5,Firearms,5,Unknown Gun Type,9,Melee
222,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",13,Unknown
223,5,Firearms,3,Handgun,,
224,9,Melee,23,Knife or Other Sharp Object,7,Fake Weapons
225,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
226,6,Explosives,16,Unknown Explosive Type,,
227,6,Explosives,16,Unknown Explosive Type,,
228,6,Explosives,16,Unknown Explosive Type,,
229,5,Firearms,5,Unknown Gun Type,,
230,5,Firearms,5,Unknown Gun Type,9,Melee
231,9,Melee,23,Knife or Other Sharp Object,,
232,9,Melee,23,Knife or Other Sharp Object,,
233,9,Melee,23,Knife or Other Sharp Object,,
234,5,Firearms,5,Unknown Gun Type,,
235,6,Explosives,16,Unknown Explosive Type,,
236,6,Explosives,7,Grenade,,
237,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
238,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
239,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",13,Unknown
240,8,Incendiary,20,Gasoline or Alcohol,,
241,6,Explosives,9,Letter Bomb,,
242,6,Explosives,15,Vehicle,,
243,5,Firearms,5,Unknown Gun Type,,
244,5,Firearms,5,Unknown Gun Type,,
245,5,Firearms,5,Unknown Gun Type,,
246,5,Firearms,5,Unknown Gun Type,,
247,5,Firearms,6,Other Gun Type,9,Melee
248,5,Firearms,5,Unknown Gun Type,,
249,5,Firearms,5,Unknown Gun Type,,
250,6,Explosives,16,Unknown Explosive Type,,
251,6,Explosives,15,Vehicle,,
252,9,Melee,23,Knife or Other Sharp Object,,
253,6,Explosives,16,Unknown Explosive Type,,
254,9,Melee,21,Blunt Object,,
255,6,Explosives,8,Landmine,,
256,5,Firearms,5,Unknown Gun Type,,
257,6,Explosives,12,Remote Trigger,,
258,6,Explosives,12,Remote Trigger,,
259,6,Explosives,15,Vehicle,,
260,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
261,8,Incendiary,18,Arson/Fire,,
262,6,Explosives,16,Unknown Explosive Type,13,Unknown
263,5,Firearms,5,Unknown Gun Type,,
264,6,Explosives,8,Landmine,,
265,6,Explosives,13,Suicide (carried bodily by human being),,
266,6,Explosives,13,Suicide (carried bodily by human being),,
267,6,Explosives,16,Unknown Explosive Type,,
268,5,Firearms,5,Unknown Gun Type,,
269,6,Explosives,16,Unknown Explosive Type,,
270,6,Explosives,8,Landmine,,
271,5,Firearms,5,Unknown Gun Type,,
272,5,Firearms,5,Unknown Gun Type,,
273,6,Explosives,8,Landmine,,
274,6,Explosives,8,Landmine,,
275,6,Explosives,15,Vehicle,,
276,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
277,5,Firearms,5,Unknown Gun Type,8,Incendiary
278,5,Firearms,5,Unknown Gun Type,,
279,6,Explosives,15,Vehicle,,
280,6,Explosives,16,Unknown Explosive Type,,
281,13,Unknown,,,,
282,13,Unknown,,,,
283,13,Unknown,,,,
284,9,Melee,23,Knife or Other Sharp Object,,
285,6,Explosives,16,Unknown Explosive Type,,
286,6,Explosives,16,Unknown Explosive Type,,
287,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
288,6,Explosives,8,Landmine,,
289,6,Explosives,15,Vehicle,,
290,5,Firearms,5,Unknown Gun Type,,
291,6,Explosives,12,Remote Trigger,,
292,2,Chemical,,,,
293,9,Melee,27,Unknown Weapon Type,,
294,6,Explosives,16,Unknown Explosive Type,,
295,6,Explosives,15,Vehicle,,
296,5,Firearms,3,Handgun,,
297,5,Firearms,5,Unknown Gun Type,,
298,5,Firearms,5,Unknown Gun Type,,
299,6,Explosives,7,Grenade,,
300,5,Firearms,5,Unknown Gun Type,,
301,6,Explosives,16,Unknown Explosive Type,,
302,6,Explosives,16,Unknown Explosive Type,,
303,6,Explosives,16,Unknown Explosive Type,,
304,6,Explosives,16,Unknown Explosive Type,,
305,6,Explosives,16,Unknown Explosive Type,,
306,5,Firearms,5,Unknown Gun Type,,
307,13,Unknown,,,,
308,5,Firearms,5,Unknown Gun Type,,
309,6,Explosives,16,Unknown Explosive Type,,
310,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
311,5,Firearms,5,Unknown Gun Type,8,Incendiary
312,6,Explosives,8,Landmine,,
313,13,Unknown,,,,
314,6,Explosives,16,Unknown Explosive Type,5,Firearms
315,6,Explosives,17,Other Explosive Type,8,Incendiary
316,6,Explosives,17,Other Explosive Type,8,Incendiary
317,6,Explosives,13,Suicide (carried bodily by human being),,
318,6,Explosives,17,Other Explosive Type,,
319,6,Explosives,13,Suicide (carried bodily by human being),,
320,6,Explosives,13,Suicide (carried bodily by human being),,
321,8,Incendiary,20,Gasoline or Alcohol,,
322,6,Explosives,17,Other Explosive Type,,
323,8,Incendiary,18,Arson/Fire,,
324,8,Incendiary,18,Arson/Fire,,
325,5,Firearms,3,Handgun,,
326,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
327,6,Explosives,16,Unknown Explosive Type,,
328,13,Unknown,,,,
329,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
330,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
331,13,Unknown,,,,
332,6,Explosives,16,Unknown Explosive Type,,
333,6,Explosives,16,Unknown Explosive Type,,
334,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
335,13,Unknown,,,,
336,6,Explosives,12,Remote Trigger,,
337,5,Firearms,3,Handgun,,
338,13,Unknown,,,,
339,9,Melee,23,Knife or Other Sharp Object,,
340,9,Melee,23,Knife or Other Sharp Object,7,Fake Weapons
341,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
342,9,Melee,23,Knife or Other Sharp Object,,
343,5,Firearms,5,Unknown Gun Type,,
344,6,Explosives,13,Suicide (carried bodily by human being),,
345,6,Explosives,15,Vehicle,6,Explosives
346,6,Explosives,13,Suicide (carried bodily by human being),,
347,6,Explosives,15,Vehicle,,
348,6,Explosives,15,Vehicle,,
349,6,Explosives,15,Vehicle,,
350,6,Explosives,16,Unknown Explosive Type,,
351,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
352,6,Explosives,16,Unknown Explosive Type,,
353,6,Explosives,16,Unknown Explosive Type,,
354,6,Explosives,16,Unknown Explosive Type,,
355,6,Explosives,16,Unknown Explosive Type,,
356,6,Explosives,16,Unknown Explosive Type,,
357,6,Explosives,16,Unknown Explosive Type,,
358,6,Explosives,16,Unknown Explosive Type,,
359,8,Incendiary,18,Arson/Fire,,
360,8,Incendiary,18,Arson/Fire,,
361,8,Incendiary,18,Arson/Fire,,
362,8,Incendiary,18,Arson/Fire,,
363,8,Incendiary,18,Arson/Fire,,
364,8,Incendiary,18,Arson/Fire,,
365,8,Incendiary,18,Arson/Fire,,
366,8,Incendiary,18,Arson/Fire,,
367,8,Incendiary,18,Arson/Fire,,
368,8,Incendiary,18,Arson/Fire,,
369,8,Incendiary,18,Arson/Fire,,
370,8,Incendiary,18,Arson/Fire,,
371,8,Incendiary,18,Arson/Fire,,
372,8,Incendiary,18,Arson/Fire,,
373,8,Incendiary,18,Arson/Fire,,
374,8,Incendiary,18,Arson/Fire,,
375,8,Incendiary,18,Arson/Fire,,
376,8,Incendiary,18,Arson/Fire,,
377,8,Incendiary,18,Arson/Fire,,
378,8,Incendiary,18,Arson/Fire,,
379,8,Incendiary,18,Arson/Fire,,
380,8,Incendiary,18,Arson/Fire,,
381,8,Incendiary,18,Arson/Fire,,
382,8,Incendiary,18,Arson/Fire,,
383,8,Incendiary,18,Arson/Fire,,
384,8,Incendiary,18,Arson/Fire,,
385,8,Incendiary,18,Arson/Fire,,
386,8,Incendiary,18,Arson/Fire,,
387,8,Incendiary,18,Arson/Fire,,
388,8,Incendiary,18,Arson/Fire,,
389,8,Incendiary,18,Arson/Fire,,
390,8,Incendiary,18,Arson/Fire,,
391,8,Incendiary,18,Arson/Fire,,
392,8,Incendiary,18,Arson/Fire,,
393,8,Incendiary,18,Arson/Fire,,
394,8,Incendiary,18,Arson/Fire,,
395,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
396,13,Unknown,,,,
397,13,Unknown,,,,
398,5,Firearms,5,Unknown Gun Type,,
399,5,Firearms,5,Unknown Gun Type,,
400,6,Explosives,17,Other Explosive Type,,
401,6,Explosives,17,Other Explosive Type,,
402,6,Explosives,13,Suicide (carried bodily by human being),,
403,5,Firearms,5,Unknown Gun Type,,
404,5,Firearms,5,Unknown Gun Type,,
405,5,Firearms,5,Unknown Gun Type,,
406,6,Explosives,17,Other Explosive Type,,
407,6,Explosives,13,Suicide (carried bodily by human being),,
408,5,Firearms,5,Unknown Gun Type,,
409,5,Firearms,5,Unknown Gun Type,,
410,6,Explosives,15,Vehicle,,
411,6,Explosives,16,Unknown Explosive Type,,
412,6,Explosives,16,Unknown Explosive Type,,
413,6,Explosives,16,Unknown Explosive Type,,
414,6,Explosives,16,Unknown Explosive Type,,
415,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
416,9,Melee,23,Knife or Other Sharp Object,,
417,5,Firearms,5,Unknown Gun Type,,
418,6,Explosives,17,Other Explosive Type,8,Incendiary
419,6,Explosives,15,Vehicle,,
420,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
421,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
422,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
423,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
424,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
425,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
426,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
427,5,Firearms,5,Unknown Gun Type,,
428,6,Explosives,16,Unknown Explosive Type,,
429,6,Explosives,16,Unknown Explosive Type,,
430,6,Explosives,15,Vehicle,,
431,8,Incendiary,18,Arson/Fire,,
432,5,Firearms,5,Unknown Gun Type,,
433,8,Incendiary,18,Arson/Fire,,
434,6,Explosives,16,Unknown Explosive Type,,
435,8,Incendiary,18,Arson/Fire,13,Unknown
436,6,Explosives,13,Suicide (carried bodily by human being),5,Firearms
437,6,Explosives,15,Vehicle,,
438,6,Explosives,13,Suicide (carried bodily by human being),,
439,6,Explosives,12,Remote Trigger,,
440,6,Explosives,7,Grenade,5,Firearms
441,5,Firearms,5,Unknown Gun Type,,
442,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
443,13,Unknown,,,,
444,6,Explosives,13,Suicide (carried bodily by human being),,
445,13,Unknown,,,,
446,5,Firearms,5,Unknown Gun Type,,
447,5,Firearms,5,Unknown Gun Type,,
448,5,Firearms,5,Unknown Gun Type,,
449,6,Explosives,15,Vehicle,,
450,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
451,13,Unknown,,,,
452,13,Unknown,,,,
453,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
454,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
455,6,Explosives,16,Unknown Explosive Type,,
456,6,Explosives,16,Unknown Explosive Type,,
457,6,Explosives,16,Unknown Explosive Type,,
458,6,Explosives,16,Unknown Explosive Type,,
459,6,Explosives,16,Unknown Explosive Type,,
460,5,Firearms,5,Unknown Gun Type,,
461,13,Unknown,,,,
462,6,Explosives,16,Unknown Explosive Type,,
463,5,Firearms,5,Unknown Gun Type,,
464,13,Unknown,,,,
465,6,Explosives,8,Landmine,,
466,5,Firearms,5,Unknown Gun Type,,
467,6,Explosives,16,Unknown Explosive Type,,
468,6,Explosives,29,Sticky Bomb,,
469,5,Firearms,5,Unknown Gun Type,,
470,6,Explosives,17,Other Explosive Type,,
471,6,Explosives,17,Other Explosive Type,,
472,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
473,6,Explosives,15,Vehicle,,
474,6,Explosives,13,Suicide (carried bodily by human being),,
475,6,Explosives,13,Suicide (carried bodily by human being),,
476,6,Explosives,17,Other Explosive Type,5,Firearms
477,5,Firearms,5,Unknown Gun Type,,
478,6,Explosives,16,Unknown Explosive Type,,
479,6,Explosives,16,Unknown Explosive Type,,
480,6,Explosives,15,Vehicle,6,Explosives
481,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
482,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
483,13,Unknown,,,,
484,5,Firearms,5,Unknown Gun Type,9,Melee
485,6,Explosives,16,Unknown Explosive Type,,
486,6,Explosives,12,Remote Trigger,6,Explosives
487,6,Explosives,16,Unknown Explosive Type,,
488,13,Unknown,,,,
489,13,Unknown,,,,
490,13,Unknown,,,,
491,13,Unknown,,,,
492,6,Explosives,17,Other Explosive Type,,
493,6,Explosives,15,Vehicle,13,Unknown
494,6,Explosives,15,Vehicle,,
495,6,Explosives,16,Unknown Explosive Type,,
496,6,Explosives,16,Unknown Explosive Type,,
497,6,Explosives,16,Unknown Explosive Type,,
498,6,Explosives,16,Unknown Explosive Type,,
499,6,Explosives,15,Vehicle,,
500,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
501,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,9,Melee
502,9,Melee,23,Knife or Other Sharp Object,,
503,6,Explosives,15,Vehicle,,
504,13,Unknown,,,,
505,5,Firearms,5,Unknown Gun Type,9,Melee
506,5,Firearms,5,Unknown Gun Type,9,Melee
507,6,Explosives,16,Unknown Explosive Type,,
508,9,Melee,23,Knife or Other Sharp Object,9,Melee
509,5,Firearms,5,Unknown Gun Type,,
510,6,Explosives,16,Unknown Explosive Type,,
511,5,Firearms,5,Unknown Gun Type,,
512,6,Explosives,15,Vehicle,,
513,5,Firearms,5,Unknown Gun Type,,
514,6,Explosives,16,Unknown Explosive Type,5,Firearms
515,6,Explosives,7,Grenade,6,Explosives
516,13,Unknown,,,,
517,6,Explosives,15,Vehicle,6,Explosives
518,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
519,5,Firearms,5,Unknown Gun Type,,
520,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
521,5,Firearms,5,Unknown Gun Type,,
522,5,Firearms,5,Unknown Gun Type,,
523,5,Firearms,5,Unknown Gun Type,,
524,6,Explosives,15,Vehicle,,
525,5,Firearms,5,Unknown Gun Type,,
526,6,Explosives,14,Time Fuse,,
527,9,Melee,22,"Hands, Feet, Fists",,
528,6,Explosives,7,Grenade,6,Explosives
529,5,Firearms,5,Unknown Gun Type,,
530,6,Explosives,16,Unknown Explosive Type,,
531,6,Explosives,16,Unknown Explosive Type,,
532,6,Explosives,8,Landmine,,
533,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
534,5,Firearms,5,Unknown Gun Type,,
535,13,Unknown,,,,
536,6,Explosives,16,Unknown Explosive Type,,
537,6,Explosives,16,Unknown Explosive Type,,
538,6,Explosives,16,Unknown Explosive Type,,
539,6,Explosives,15,Vehicle,,
540,5,Firearms,5,Unknown Gun Type,,
541,5,Firearms,5,Unknown Gun Type,,
542,6,Explosives,15,Vehicle,,
543,6,Explosives,16,Unknown Explosive Type,,
544,6,Explosives,17,Other Explosive Type,,
545,9,Melee,23,Knife or Other Sharp Object,,
546,13,Unknown,,,,
547,6,Explosives,16,Unknown Explosive Type,5,Firearms
548,13,Unknown,,,,
549,13,Unknown,,,,
550,13,Unknown,,,,
551,6,Explosives,15,Vehicle,,
552,5,Firearms,5,Unknown Gun Type,,
553,6,Explosives,15,Vehicle,,
554,6,Explosives,13,Suicide (carried bodily by human being),,
555,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
556,13,Unknown,,,,
557,13,Unknown,,,,
558,13,Unknown,,,,
559,6,Explosives,16,Unknown Explosive Type,,
560,13,Unknown,,,,
561,8,Incendiary,18,Arson/Fire,,
562,6,Explosives,7,Grenade,,
563,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
564,6,Explosives,15,Vehicle,13,Unknown
565,6,Explosives,15,Vehicle,13,Unknown
566,6,Explosives,15,Vehicle,13,Unknown
567,6,Explosives,15,Vehicle,13,Unknown
568,6,Explosives,15,Vehicle,13,Unknown
569,6,Explosives,15,Vehicle,13,Unknown
570,6,Explosives,15,Vehicle,13,Unknown
571,6,Explosives,15,Vehicle,13,Unknown
572,6,Explosives,15,Vehicle,13,Unknown
573,6,Explosives,15,Vehicle,13,Unknown
574,6,Explosives,15,Vehicle,13,Unknown
575,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
576,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
577,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
578,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
