Event ID,corp1,target1
97,Not Applicable,Civilians
98,Not Applicable,Civilians
99,Afghan Police,Checkpoint
100,United States Department of State,Diplomatic Security Service (DSS) Convoy
101,Pakistani Police,Vehicle
102,Pakistani Police,Checkpost
103,Petroleum Facilities Guard (PFG),Checkpoint
104,Petroleum Facilities Guard (PFG),Checkpoint
105,Afghan High Peace Council,Provincial Peace Committee Chief: Qari Saifuddin Sadat
106,Government of Afghanistan,Helmand Power Department Employee: Mohammad Hussain
107,Somali Police Force (SPF),Police Station
108,African Union Mission in Somalia (AMISOM),Convoy
109,Afghan Police,Posts
110,Unknown,Unknown
111,Unknown,Unknown
112,Unknown,Unknown
113,Unknown,Catholic Convent
114,Not Applicable,Civilian
115,Unknown,Unknown
116,Not Applicable,Civilians
117,Not Applicable,Civilians
118,Israel Defense Forces (IDF),Patrol
119,Special Action Police (POH),Officer: Musa YUce
120,Indian Armed Forces,Soldiers
121,Izgeki Village,Village
122,Toshia Village,Village
123,Not Applicable,Residential Compound
124,Saudi Arabia Police Force,Officers
125,Not Applicable,Civilians
126,Unknown,Ginger Trader: Kali Biswas
127,Iraqi Armed Forces,Joint Forces
128,Mohammed Abdallah Jabbouri Mosque,Muezzin: Taha al-Juburi
129,Egyptian Armed Forces,Vehicle
130,Not Applicable,Asylum Seeker
131,Unknown,Unknown
132,Unknown,Imam: Ali Othman al-Gailani
133,Aman Lashkars,Members
134,Not Applicable,Civilian
135,Nepal Police,Assistant Sub-Inspector (ASI): Ramesh Subba
136,Unknown,Doctors
137,Unknown,Unknown
138,Unknown,Unknown
139,Unknown,Unknown
140,National Oil Corporation (NOC),Export Terminal
141,Sunni Endowment,Employee
142,Not Applicable,Civilians
143,Iraqi Police Service (IPS),Patrol
144,Not Applicable,Civilians
145,Not Applicable,Civilians
146,Not Applicable,Civilians
147,Egyptian National Police (ENP),Officer: Diab Abdel-Latif
148,Government of Aden,Convoy of Governor: Aidarus al-Zoubaidi
149,Iraqi Armed Forces,Troops
150,Ar Ramadi Hospital,Hospital
151,Israel Defense Forces (IDF),Soldier
152,Telugu Desam Party (TDP),Leader: Sagina Venkataramana
153,Not Applicable,Suspected Informant: Pangi Sivayya
154,Not Applicable,Civilians
155,Nchiha Village,Village
156,Not Applicable,Civilians
157,Saudi Arabian Oil Company (Aramco),Bus of Employees
158,Not Applicable,Public Restroom
159,Unknown,Unknown
160,Unknown,Unknown
161,Iraqi Armed Forces,Base
162,Not Applicable,Civilians
163,Sahwa Council,Former Members
164,Sahwa Council,Former Members
165,Turkish Gendarmerie,Sergeant: Ramazan Emet
166,Not Applicable,Civilians
167,Commando Battalion for Resolute Action (COBRA),Patrol
168,Mozambique Liberation Front (FRELIMO),Secretary
169,Ahrar al-Sham,Vehicle of Commander: Abu Rateb al-Homsy
170,Not Applicable,Civilians
171,Not Applicable,"Civilians: Javed, Naveed"
172,Unknown,Journalist: Nabil Soubye
173,Not Applicable,Civilians
174,Government of Silik,Village Chair: Pecson Alang Mangansakan
175,GMR Energy,Office
176,Marib City,City
177,Unknown,Doctor: Yousaf
178,Ouro Mari Village,Village
179,Unknown,Tishrin Hydroelectric Dam
180,Royal Thai Rangers,Patrol
181,Not Applicable,"Tribal Elders: Malik Wali Khan, Jawad Khan, Akbar Khan"
182,Baghdad Street Area,Area
183,Al-Abed Street Area,Area
184,Not Applicable,Former Al-Shabaab Member: Farah Hariye Ali Abdi
185,Southern Mobility Movement (SMM),Checkpoint
186,Operation Restoring Hope Coalition,United Arab Emirates (UAE) Officer: Mani Mani
187,Military of Yemen,Brigadier: Ahmad al-Jumhuri
188,Unknown,Unknown
189,Sanaa City,City
190,Not Applicable,Civilians
191,Not Applicable,Children
192,Thubat Neighborhood,Neighborhood
193,Afghan Local Police (ALP),Van
194,Sahwa Council,Checkpoint
195,Not Applicable,Suspected Informant: Sukhram Kadti
196,Philippine Army (PA),Patrol
197,Wambache Town,Town
198,Not Applicable,Civilian
199,Afghan National Army (ANA),Vehicle
200,Afghan Police,Checkpoint
201,Not Applicable,Civilian
202,Not Applicable,Civilian: Lena al-Qasem
203,Central Reserve Police Force (CRPF),Camp
204,Pakistani Police,Officers
205,Not Applicable,Civilians
206,Turkish National Police (EGM),Patrol
207,Afghan Police,Checkpoint
208,Royal Thai Rangers,Unit 4615 Checkpoint
209,Libyan Coast Guard,Training Facility
210,Derna Revolutionaries' Shura Council,Barracks
211,Unknown,Tourist Bus
212,Unknown,Gas Pipeline
213,Petroleum Facilities Guard (PFG),Checkpoint
214,Unknown,Internally Displaced Persons (IDP) Camp
215,Government of Wardhigley,District Headquarters
216,African Union/United Nations Hybrid Operation in Darfur (UNAMID),Patrol
217,Not Applicable,Civilians
218,Not Applicable,Civilians
219,Not Applicable,Former Christian Convert: Samir al-Din
220,Afghan Police,Officers
221,Not Applicable,Nande Civilians
222,Somali National Army (SNA),Base
223,Philadelphia City Police,Officer: Jesse Hartnet
224,National Gendarmerie,Police Station
225,Unknown,Shrines
226,Not Applicable,Civilians
227,Not Applicable,Civilians
228,Not Applicable,Civilians
229,Not Applicable,Civilians
230,Not Applicable,Trader: Bapi Samant
231,Israel Defense Forces (IDF),Soldiers
232,Israel Defense Forces (IDF),Soldier
233,Not Applicable,"Civilians: Karam Dave, Karam Podia"
234,Citizens Armed Forces Geographical Unit (CAFGU),Soldier: Jaime Rabino
235,Pakistan Armed Forces,Convoy
236,Unknown,House of Doctor: Chanam Manglem Singh
237,Jazan Region,Region
238,Jazan Region,Region
239,Barwana Town,Town
240,Unknown,Construction Equipment
241,Banca Estruria,Bank Branch
242,Unknown,Unknown
243,Organization for Security and Cooperation in Europe (OSCE): Special Monitoring Mission to Ukraine (SMM),Monitors
244,Not Applicable,Civilian: Conor McKee
245,Unknown,Missionary: Beatrice Stockly
246,Pakistani Police,Officers
247,Bella Vista Resort,Hotel
248,Not Applicable,Tribal Elder: Malak Qurban
249,Government of Gharyan,Mayor: Yusef Badir
250,Frontier Constabulary (FC),Patrol
251,Government of Kahda,Vehicle of District Secretary: Hawa Luul Nor Mohamed
252,Afghan National Army (ANA),Soldier
253,Not Applicable,Civilians
254,Puntland TV,Journalist: Hussein Hassan Adde
255,Border Security Force (BSF),Motorcycle
256,Internal Security Force (ISF),Vehicle of Information Branch Officer: Zaher Izzedine
257,Not Applicable,Vehicle of Tribal Chief: Wali Jan Mehsud
258,Thahan Phran,Transport Truck
259,Indian Ministry of External Affairs,Consulate
260,Unknown,Power Plant
261,Unknown,Construction Vehicles
262,Afghan Police,Headquarters
263,Afghan Police,Posts
264,Unknown,Unknown
265,Unknown,Mosque
266,Unknown,Mosque
267,Not Applicable,"Children: Daylop Chollom, Ephraim Habila Pam, Mark Chollom"
268,United Nations World Health Organization (WHO),Expanded Programme on Immunisation (EPI) Technician: Anwar Baig
269,Unknown,Wine Shop
270,Pakistan Coast Guards (PCG),Convoy
271,Egyptian National Police (ENP),Officer: Ali Ahmed Fahmy
272,Unknown,Bus
273,Not Applicable,Vehicle
274,Unknown,Tanker
275,Unknown,Owner of Currency Change Bureau
276,International Federation of the Red Cross and Red Crescent (IFRC),Internally Displaced Persons (IDPs) Camp
277,Not Applicable,Civilians
278,Not Applicable,Civilians
279,Not Applicable,Vehicle
280,Not Applicable,Civilians
281,Not Applicable,Civilians
282,Iraqi Armed Forces,Al-Zalkan Camp
283,Not Applicable,Civilians
284,Israel Defense Forces (IDF),Checkpoint
285,Unknown,Unknown
286,Egyptian National Police (ENP),Vehicle
287,General Intelligence Presidency (GIP),Compound
288,Unknown,Unknown
289,Al-Marqab University,University
290,Turkish Armed Forces (TSK),Soldier
291,Turkish Armed Forces (TSK),Soldiers
292,Not Applicable,Refugees
293,Not Applicable,Laborers
294,Egyptian National Police (ENP),Vehicle
295,National Intelligence and Security Agency (NISA),Official
296,Military of Yemen,Colonel: Ali Saleh al Yafie
297,Pakistani Police,Vehicle
298,Unknown,Zuwetina Oil Port
299,Unknown,Wine Shop
300,Not Applicable,Civilians
301,Not Applicable,Civilians
302,Not Applicable,Civilians
303,Not Applicable,Civilians
304,Not Applicable,Civilians
305,Iraqi Volunteer Forces,Member
306,Iraqi Ministry of Culture,Employee
307,As Salam Village,Village
308,Iraqi Volunteer Forces,Checkpoint
309,Not Applicable,Tribal Leader: Abd-al-Wali al-Akimi
310,Wadi al-Qadi Neighborhood,Neighborhood
311,Not Applicable,Houses
312,Not Applicable,Civilians
313,Radio Fresh,"Journalists: Raed Fares, Hadi al-Abdallah"
314,Turkish Armed Forces (TSK),Soldier
315,Government of Madurai,Office of Minister for Cooperation: Sellur K. Raju
316,All India Anna Dravida Munnetra Kazhagam (AIADMK),Office
317,Iraqi Armed Forces,Forces
318,Iraqi Armed Forces,Forces
319,Unknown,Unknown
320,Iraqi Volunteer Forces,Patrols
321,Care Service Cleaning Company,Compound
322,Unknown,Unknown
323,St. Louis Fontainebleau Church,Church
324,Unknown,Church
325,TenX,Nightclub
326,Government of National Accord (GNA),Convoy of Prime Minister: Faiez Serraj
327,Not Applicable,Vehicle of Civilian: Shaykh Abukar
328,Not Applicable,Civilians
329,Afghan National Security Force (ANSF),Checkpost
330,Spin-Gahi School,School
331,Not Applicable,Civilians
332,Iraqi Volunteer Forces,Patrol
333,Not Applicable,Civilians
334,Not Applicable,Houses
335,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo (MONUSCO),Helicopter
336,Unknown,Unknown
337,Unknown,Sangguniang Bayan Candidate: Danrevel T. Etac
338,Not Applicable,Shabak Civilian
339,Israel Defense Forces (IDF),Soldiers
340,Not Applicable,Civilian
341,Unknown,School
342,Unknown,Teacher: Benjamin Amsellem
343,Pakistani Police,"Officers: Abdul Razaq, Hazrat Usman"
344,Unknown,Unknown
345,Unknown,Shopping Center
346,Unknown,Casino
347,Unknown,Casino
348,Not applicable,Civilians
349,Not Applicable,Civilians
350,Not Applicable,Civilians
351,Barwana Town,Town
352,Not Applicable,Residence
353,Not Applicable,Residence
354,Not Applicable,Residence
355,Not Applicable,Residence
356,Not Applicable,Residence
357,Not Applicable,Residence
358,Not Applicable,Residence
359,Unknown,Shop
360,Unknown,Shop
361,Unknown,Shop
362,Unknown,Shop
363,Unknown,Shop
364,Unknown,Shop
365,Unknown,Shop
366,Unknown,Shop
367,Unknown,Shop
368,Unknown,Shop
369,Unknown,Shop
370,Unknown,Shop
371,Unknown,Shop
372,Unknown,Shop
373,Unknown,Shop
374,Unknown,Shop
375,Unknown,Shop
376,Unknown,Shop
377,Unknown,Shop
378,Unknown,Shop
379,Unknown,Shop
380,Unknown,Shop
381,Unknown,Shop
382,Unknown,Shop
383,Unknown,Shop
384,Unknown,Shop
385,Unknown,Shop
386,Unknown,Shop
387,Unknown,Shop
388,Unknown,Shop
389,Unknown,Shop
390,Unknown,Shop
391,Unknown,Shop
392,Unknown,Shop
393,Unknown,Shop
394,Unknown,Shop
395,Not Applicable,Civilians
396,People's Majlis,Member of Parliament: Iham Ahmed
397,Indian Armed Forces,Patrol
398,Liberal Party (LP),Leader: Allen Ranay Silagan
399,Government of La Libertad,Mayoral Aide: Joel Jimenez
400,Unknown,Unknown
401,Unknown,Unknown
402,Not Applicable,Tourists
403,Royal Thai Police,"Officers: Major Ratanan Mapaew, Corporal Nikhom Phetkeao"
404,Frontier Works Organization (FWO),Construction Camp
405,Frontier Corps (FC),Members
406,Unknown,Unknown
407,Unknown,Unknown
408,Yemeni Police,Lieutenant Colonel: Amin Shayif
409,Yemeni Police,Police Station
410,Iraqi Police Service (IPS),Convoy of Head of Police Intelligence: Colonel Qassem al-Anbaki
411,Iraqi Army,Patrol
412,Not Applicable,Civilians
413,Not Applicable,Civilians
414,Not Applicable,Civilians
415,Al Sharqiyah News,"Vehicle of Satellite Television Employees: Saif Tallal, Hassan al-Anbaki"
416,Israel Defense Forces (IDF),Soldiers
417,Afghan National Security Force (ANSF),Supply Convoy
418,All India Anna Dravida Munnetra Kazhagam (AIADMK),Meeting
419,Unknown,Market
420,Unknown,Mosque
421,Unknown,Mosque
422,Unknown,Mosque
423,Unknown,Mosque
424,Unknown,Mosque
425,Unknown,Mosque
426,Unknown,Mosque
427,Not Applicable,Civilians
428,Not Applicable,Civilians
429,Iraqi Police Service (IPS),Vehicle
430,Unknown,Unknown
431,Unknown,Construction Equipment
432,Hizballah,Prayer Room
433,Not Applicable,Residence of Chinese Civilian
434,Egyptian National Railways,Railway Tracks
435,Unknown,Gas Station
436,Pakistani Ministry of Foreign Affairs,Consulate
437,Not Applicable,Civilians
438,National Task Force for Polio Eradication,Health Center
439,Government of Village 3,Assistant Village Heads
440,ARY News Digital Network,Office
441,African Union Mission in Somalia (AMISOM),Soldiers
442,Not Applicable,Civilians
443,National Party,"Workers: Wahab Khurshid, Masud Baloch"
444,Unknown,Mosque
445,Not Applicable,Civilians
446,Congolese Army,Camp
447,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo (MONUSCO),Peacekeepers
448,Afghan Police,Checkpoints
449,Unknown,Unknown
450,Yemeni Traffic Police,Patrol
451,Yabar Area,Area
452,Zafar Area,Area
453,Not Applicable,Residential Areas
454,Unknown,Neighborhoods
455,Not Applicable,Civilians
456,Not Applicable,Civilians
457,Not Applicable,Civilians
458,Not Applicable,Civilians
459,Not Applicable,Civilians
460,Iraqi Army,Checkpoint
461,Iraqi Armed Forces,Soldiers
462,Israel Defense Forces (IDF),Patrol
463,Unknown,Bus Drivers
464,Not Applicable,Internally Displaced Person (IDP): Mubarak Ali Abdelrasoul
465,Not Applicable,"Civilians: Rameshwar Oyam, Vishal"
466,National Uprising Movement (NUM),Commander: Ayub
467,Afghan Local Police (ALP),Patrol of Commander: Mohammad Ismail
468,Iraqi Police Service (IPS),Officers
469,Not Applicable,House
470,Not Applicable,Civilian
471,Not Applicable,Civilians
472,Israel Defense Forces (IDF),Watch Post
473,Unknown,Unknown
474,Starbucks Corporation,Cafe
475,Indonesian National Police (INP),Post
476,Indonesian National Police (INP),Officers
477,Egyptian Army,Checkpoint
478,Egyptian Armed Forces,Patrol
479,Unknown,Unknown
480,Turkish National Police (EGM),Police Station
481,Turkish National Police (EGM),Police Station
482,Not Applicable,Civilians
483,Arabian Gulf Oil Company (AGOCO),Son of Former Chair Ahmed al-Mujbiri: Mohammad Ahmad Hamid
484,"Ustay Construction, Contracting and Trading Company",Construction Guards
485,National Oil Corporation (NOC),Tibisti-Bayda-Ras Lanuf Oil Pipeline
486,National Grid Corporation of the Philippines (NGCP),Power Pylon
487,Unknown,Unknown
488,Libyan National Police (LNP),Officers
489,Libyan National Police (LNP),Officers
490,Libyan National Police (LNP),Officers
491,Libyan National Police (LNP),Officer
492,Levies Forces,Patrol
493,Government of Tall Kusaybah,Buildings
494,Iraqi Army,Convoy of Lieutenant General: Jum'ah 'Inad
495,Unknown,Unknown
496,Unknown,Market
497,Unknown,Shops
498,Not Applicable,Civilian
499,Iraqi Armed Forces,Headquarters
500,Alam Subdistrict,Subdistrict
501,Israel Defense Forces (IDF),Soldiers
502,Israel Defense Forces (IDF),Soldiers
503,Government of Pakistan,Board Office
504,Pakistan International Airlines (PIA),Office
505,Not Applicable,Suspected Informant: Rohini Nachika
506,Not Applicable,Civilians
507,Afghan Police,Vehicle
508,Not Applicable,Civilian
509,Philippine Army (PA),Base
510,Not Applicable,Civilian: Mohammad Sobhi Wehbe
511,Rashtriya Janata Dal (RJD),Leader: Chhantu Bhagat
512,Yemeni Police,Vehicle
513,National Directorate of Security (NDS),Convoy of Provincial Chief: Saburi
514,Splendid Hotel,Hotel
515,Cappuccino Cafe,Cafe
516,Unknown,"Surgical Clinic Managers: Jocelyn Elliott, Ken Elliott"
517,African Union Mission in Somalia (AMISOM),Kenyan Base
518,Not Applicable,Civilians
519,Afghan Police,Checkpost
520,Afghan Ministry of Foreign Affairs,Residence of Consulate Official: Muhammad Humayoon Yousafzai
521,Malian Armed Forces,Patrol
522,Malian Armed Forces,Convoy
523,Mali Water and Forests Agency,Guard
524,Iraqi Ministry of Finance,Car of Employee
525,Tin Abao Village,Village
526,Indian Railways,Train
527,Not Applicable,Muslim Civilian: Mujibur Rahman
528,Nigerian Army (NA),Base
529,Nigeria Police Force (NPF),Police Station
530,Chevron Nigeria Limited,Gas Pipelines
531,Not Applicable,Civilian: Ibrahim Kaya
532,Not Applicable,Children
533,The Aga Khan Agency for Microfinance (AKAM),Bank
534,Not Applicable,"Traders: Tustu Paul, Manoranjan Sarkar, Putul Mukherjee"
535,Not Applicable,Civilians
536,Unknown,Shops
537,Iraqi Police Service (IPS),Patrol
538,Not Applicable,Civilians
539,Unknown,Unknown
540,General Dynamics,"Security Contractors: Amro Mohammed, Wael al-Mahdawy"
541,Indian Police Service (IPS),Officers
542,Government of Pakistan,Brother of Former Union Council (UC) Official: Al Nwaz Bugti
543,Chevron Nigeria Limited (CNL),Utunan-Makaraba Oil Pipeline
544,Unknown,Unknown
545,Government of Kondatikarapada,Former Village Head: Krishna Miniaka
546,Tabit Internally Displaced Persons (IDPs) Camp,Internally Displaced Persons (IDPs)
547,Unknown,Oil Pipeline
548,Afghan National Security Force (ANSF),Checkpost
549,Afghan National Security Force (ANSF),Checkpost
550,Afghan National Security Force (ANSF),Checkpost
551,Iraqi Armed Forces,Soldiers
552,Not Applicable,Civilians
553,Unknown,Unknown
554,People's Protection Units (YPG),Headquarters
555,Not Applicable,"Civilians: Panundi Sultan, Noble Sultan"
556,Afghan Police,Commander: Khudaidad
557,Afghan Police,Commander: Salar
558,Afghan Police,Commander: Shamsullah
559,Chilean Gendarmerie,Prison
560,Unknown,Poet: Mohammad Bashir al-Aani
561,St. John of the Cross Church,Roman Catholic Church
562,Unknown,Transmission lines
563,Ybi Hotel,Hotel
564,Syrian Army,Weapons Depot
565,Syrian Armed Forces (SAF),Soldiers
566,Ayyash Neighborhood,Neighborhood
567,Syrian Armed Forces (SAF),Soldiers
568,Syrian Armed Forces (SAF),Soldiers
569,Syrian Armed Forces (SAF),Soldiers
570,Syrian Armed Forces (SAF),Soldiers
571,Syrian Armed Forces (SAF),Soldiers
572,Al-Roshdeyah Neighborhood,Neighborhood
573,Al Jubaylah Neighborhood,Neighborhood
574,Syrian Armed Forces (SAF),Soldiers
575,Zahra Neighborhood,Neighborhood
576,Masharqa Area,Area
577,Aziziyeh Neighborhood,Neighborhood
578,Not Applicable,Civilians
579,Not Applicable,Residences
580,Not Applicable,Suspected Spies
581,Afghan National Army (ANA),Checkposts
582,Afghan National Army (ANA),Checkposts
583,Afghan Police,Police Station
584,National Uprising Movement (NUM),Commander: Khal Mohammad
585,Niger Army,Vehicle
586,Philippine National Police (PNP),House of Officer: Jonathan de Belen
587,Not Applicable,"Civilians: Abdul Basit, Moiz Hussain, Asad Javed"
588,Unknown,Estate Agent
589,Daragutan Elementary School,Principal: Jovelito Camba
590,Frontier Constabulary (FC),Vehicle
591,Unknown,Middle School
592,Unknown,Unknown
593,Indian Police Service (IPS),Residence of Inspector: P K Mani
594,Indian Police Service (IPS),Residence of Sub Inspector: Vipin
595,Mobile Market,Cell Phone Store
596,Chevron Nigeria Limited,Gas Pipeline
597,Not Applicable,Civilians
598,Government of Cabangcalan,Village Chief: Jonathan Sullera
599,Unknown,Unknown
600,Unknown,Unknown
601,Not Applicable,Civilian
602,Not Applicable,Civilian
603,Not Applicable,House
604,African Union Mission in Somalia (AMISOM),Kenyan Convoy
605,Organization for Security and Cooperation in Europe (OSCE): Special Monitoring Mission to Ukraine (SMM),Vehicle
606,Not Applicable,Civilian
607,Not Applicable,Vehicle
608,Nigerian National Petroleum Corporation (NNPC),Bonny - Okrika Crude Supply Line
609,Not Applicable,Civilians
610,Philippine Army (PA),Soldiers
611,Al-Saiqa,Soldiers
612,Pakistan Armed Forces,Forces
613,Pakistani Police,Van
614,Government of Nangarhar,Guesthouse of Provincial Assembly Member: Obaidullah Shinwari
615,Italian Ministry of Foreign Affairs,Embassy
616,Yemeni Police,House of Aden Police Chief: Shalal Ali Shayea
617,Yemeni Police,Colonel: Mohammed Al-Dhali
618,Yemeni Police,Vehicle of Bayda Police Chief: Adel Al-Asbahi
619,Huthis,Members
620,Huthis,Members
621,Huthis,Members
622,Afghan Police,Officers
623,Not Applicable,Civilian: Dafna Meir
624,Israel Defense Forces (IDF),Soldiers
625,Turkish Armed Forces (TSK),Base
626,Turkish National Police (EGM),Vehicle
627,Iraqi Ministry of Justice,Car of Employee
628,Unknown,Market
629,Unknown,Market
630,Turkish National Police (EGM),Vehicle
631,Seyh Seda Mosque,Garden of Mosque
632,Turkish Armed Forces (TSK),Soldiers
633,Turkish National Police (EGM),Officers
634,Somali Armed Forces (SAF),Soldiers
635,As Salam Village,Village
636,Not Applicable,Farmer: Donato Salangani
637,Hamidiya Internally Displaced Persons (IDPs) Camp,"Internally Displaced Persons (IDPs): Fadul Adam Adam, Elias Adam Basher Adam, Muzamil Abakar Ahmed"
638,Egyptian National Police (ENP),Armored Vehicle
639,Egyptian Traffic Police,Checkpoint
640,Not Applicable,House
641,Not Applicable,Civilian
642,Not Applicable,Civilians
643,Polleramma Temple,Temple
644,Unknown,Mosque
645,Not Applicable,Civilian: Naz Mina
646,Unknown,Correspondent: Muhammad Omar
647,Pakistan Muslim League: Nawaz (PML-N),Brother of Leader: Mir Ishtiaq Baloch
648,Not Applicable,"Civilians: Abdi Eney Derow, Asad Mayow Hajj Osman"
649,Indian Armed Forces,Soldiers
650,Ahmad Shah Baba Girls' School,School
651,Not Applicable,Refugees
652,Unknown,Unknown
653,Military of Yemen,General: Saleh al-Abadi
654,Frontier Corps (FC),Convoy
655,African Union Mission in Somalia (AMISOM),Kenyan Soldiers
656,Al Jazeera,"Journalists: Hamdi al-Bokari, Abdulaziz al-Sabri, Munir al-Subaie"
657,Unknown,Prayer Leader: Abdul Wahid
658,Basilan Port Terminal,Ferry Terminal
659,Philippine National Police (PNP),Police Station
660,Armed Forces of the Philippines (AFP),46th Infantry Battalion Patrol
661,National Grid Corporation of the Philippines (NGCP),Power Tower
662,Unknown,Unknown
663,Unknown,Quran Reciter: Suhayb 'Abd al-Hakim al-Gharyani
664,Unknown,Mosque
665,Not Applicable,Civilian: Michal Froman
666,Turkish National Police (EGM),Vehicle
667,Turkish Armed Forces (TSK),Soldiers
668,Not Applicable,Civilian
669,Not Applicable,Civilian
670,Not Applicable,Civilians
671,Eyup Gokce Imam Middle School,Middle School
672,Commando Battalion for Resolute Action (COBRA),Soldiers
673,Unknown,Unknown
674,Burundi Ministry of Education,Senior Official
675,Unknown,Karaoke Bar
676,Royal Thai Police,Officers
677,Afghan Police,Vehicle of Headquarters Adviser: Abdol Jamil
678,Rashtriya Swayamsevak Sangh (RSS),Building
679,El Shamaliya Internally Displaced Persons (IDPs) Camp,Internally Displaced Person (IDP): Adam Yassin
680,Government of Aden,Anti-Terror Judge: Abdul-Hadi Muflhi
681,Citizens Armed Forces Geographical Unit (CAFGU),Soldier: Uldarico Lumahan
682,Iraqi Volunteer Forces,Vehicle of Members
683,Unknown,Car Wash
684,African Union Mission in Somalia (AMISOM),Kenyan Soldiers
685,Unknown,Rubber Plantation Workers
686,Not Applicable,Civilians
687,Pakistani Police,Assistant Sub-Inspector (ASI): Abdul Wahid Khan
688,Government of Tame,Former Mayor: Alfredo Guzman
689,Khassadars,Checkpoint
690,Unknown,Unknown
691,National Directorate of Security (NDS),Member: Mirajuddin
692,Libyan Air Force,Spokesperson: Nasser al-Hasi
693,Unknown,Unknown
694,Mali Gendarmerie,Soldiers
695,Not Applicable,Houses
696,Not Applicable,Houses
697,Special Action Police (POH),Officers
698,Unknown,Unknown
699,Tamboura 2 Village,Village
700,Not Applicable,Civilians
701,Iraqi Volunteer Forces,Car of Member
702,Not Applicable,Civilians
703,Iraqi Police Service (IPS),Patrol
704,Iraqi Police Service (IPS),Officers
705,Government of Nasiriyah,House of Head: Abd al-Nasir Ghalib 'Atshan
706,Iraqi Traffic Police,House of Officer
707,Not Applicable,Civilians
708,Not Applicable,"Civilians: Sulima Begam, Abdul Hanif, Makubul Rahman"
709,Egyptian Armed Forces,Vehicle
710,Not Applicable,Civilian
711,Afghan National Army (ANA),Convoy
