Event ID,gname,motive
136,Tripoli Province of the Islamic State,
137,Unknown,
138,Unknown,
139,Unknown,
140,Tripoli Province of the Islamic State,
141,Unknown,
142,Unknown,
143,Islamic State of Iraq and the Levant (ISIL),
144,Islamic State of Iraq and the Levant (ISIL),
145,Unknown,
146,Unknown,
147,Unknown,
148,Adan-Abyan Province of the Islamic State,
149,Islamic State of Iraq and the Levant (ISIL),
150,Islamic State of Iraq and the Levant (ISIL),
151,Palestinian Extremists,
152,Communist Party of India - Maoist (CPI-Maoist),The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that Sagina Venkatramana was targeted for falsifying signatures in order to pass a mining resolution.
153,Communist Party of India - Maoist (CPI-Maoist),"The specific motive is unknown; however, sources posited that the Communist Party of India - Maoist (CPI-Maoist) targeted Pangi Sivayya because the group believed he was a police informant."
154,Unknown,
155,Boko Haram,
156,Unknown,
157,Unknown,
158,Unknown,
159,Unknown,
160,Unknown,
161,Islamic State of Iraq and the Levant (ISIL),
162,Unknown,
163,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) accused the victims of working with security personnel."
164,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) accused the victims of working with security personnel."
165,Kurdistan Workers' Party (PKK),
166,People's Liberation Front of India,"The specific motive is unknown; however, sources suspected that the victims were targeted for severing ties with the People's Liberation Front of India."
167,Maoists,
168,Mozambique National Resistance Movement (MNR),
169,Unknown,
170,New People's Army (NPA),
171,Unknown,
172,Houthi extremists (Ansar Allah),
173,Kurdistan Workers' Party (PKK),
174,Unknown,
175,Communist Party of Nepal-Maoist (Baidya),
176,Houthi extremists (Ansar Allah),
177,Unknown,
178,Boko Haram,
179,Islamic State of Iraq and the Levant (ISIL),
180,Unknown,
181,Halqa-e-Mehsud,
182,Unknown,
183,Unknown,
184,Unknown,"The specific motive is unknown; however, sources suspected that Farah Hariye Ali Abdi may have been targeted for defecting from Al-Shabaab."
185,Al-Qaida in the Arabian Peninsula (AQAP),
186,Unknown,
187,Unknown,
188,Houthi extremists (Ansar Allah),
189,Houthi extremists (Ansar Allah),
190,Unknown,
191,Houthi extremists (Ansar Allah),
192,Houthi extremists (Ansar Allah),
193,Taliban,
194,Islamic State of Iraq and the Levant (ISIL),
195,Maoists,"The specific motive is unknown; however, sources posited that Maoists targeted Sukhram Kadti because they believed he was a police informant."
196,New People's Army (NPA),
197,Boko Haram,
198,Unknown,
199,Taliban,
200,Taliban,
201,Unknown,
202,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that a member of the Islamic State of Iraq and the Levant (ISIL) executed the victim, who was his mother, because she urged him to leave the group."
203,Unknown,
204,Tehrik-i-Taliban Pakistan (TTP),
205,Unknown,
206,Unknown,
207,Taliban,
208,Unknown,
209,Tripoli Province of the Islamic State,
210,Barqa Province of the Islamic State,
211,Islamic State in Egypt,
212,Sinai Province of the Islamic State,The Sinai Province of the Islamic State claimed responsibility for the incident and stated that the group targeted the pipeline in order to prevent gas from reaching Jordan.
213,Tripoli Province of the Islamic State,
214,Al-Shabaab,
215,Al-Shabaab,
216,Unknown,
217,Unknown,
218,Unknown,
219,Islamic State in Bangladesh,The Islamic State in Bangladesh claimed responsibility for the incident and stated that Samir al-Din was targeted for converting to Christianity.
220,Taliban,
221,Democratic Front for the Liberation of Rwanda (FDLR),
222,Al-Shabaab,
223,Jihadi-inspired extremists,"An unaffiliated individual, identified as Edward Archer, claimed responsibility for the incident and stated that he carried out the attack ""in the name of Islam."" Archer also pledged allegiance to the Islamic State of Iraq and the Levant (ISIL)."
224,Jihadi-inspired extremists,"An unaffiliated individual, identified as Sallah Ali, claimed responsibility for the incident and stated that the attack was carried out in retaliation for French military operations in Syria. Ali also pledged allegiance to the Islamic State of Iraq and the Levant (ISIL)."
225,Islamic State of Iraq and the Levant (ISIL),
226,Unknown,
227,Unknown,
228,Unknown,
229,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) targeted the victims for utilizing the internet."
230,Communist Party of India - Maoist (CPI-Maoist),The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and stated that Bapi Samant was targeted because the group believed he was a police informant.
231,Palestinian Extremists,"The specific motive is unknown; however, sources posited that the attack was carried out in revenge for the killing of a relative."
232,Palestinian Extremists,
233,Maoists,
234,New People's Army (NPA),
235,Unknown,
236,Unknown,
237,Unknown,
238,Unknown,
239,Islamic State of Iraq and the Levant (ISIL),
240,Communist Party of India - Maoist (CPI-Maoist),The Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the incident and demanded that the workers cease their construction on the road.
241,Unknown,
242,Unknown,
243,Donetsk People's Republic,
244,Irish National Liberation Army (INLA),
245,Al-Qaida in the Islamic Maghreb (AQIM),"Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the incident and stated that Beatrice Stockly was targeted because she ""has succeeded in driving large numbers of Muslim sons from Islam."""
246,Unknown,
247,Islamic State in Egypt,
248,Unknown,
249,Unknown,
250,Unknown,
251,Unknown,
252,Khorasan Chapter of the Islamic State,
253,Unknown,
254,Unknown,
255,Communist Party of India - Maoist (CPI-Maoist),
256,Islamic State of Iraq and the Levant (ISIL),
257,Unknown,
258,Unknown,
259,Unknown,
260,Barqa Province of the Islamic State,
261,Maoists,
262,Taliban,
263,Taliban,
264,Unknown,
265,Boko Haram,
266,Boko Haram,
267,Unknown,
268,Unknown,
269,Achik Matgrik Army (AMA),The Achik Matgrik Army (AMA) claimed responsibility for the incident and stated that the wine shop was targeted for selling alcohol and cigarettes to individuals who were underage.
270,Baloch Liberation Army (BLA),
271,Sinai Province of the Islamic State,
272,Unknown,
273,Unknown,
274,Unknown,
275,Unknown,
276,Unknown,
277,Lord's Resistance Army (LRA),"The specific motive is unknown; however, sources posited that the victims were abducted in order to carry items that the Lord's Resistance Army (LRA) stole from the village."
278,Lord's Resistance Army (LRA),"The specific motive is unknown; however, sources posited that the victims were abducted in order to carry items that the Lord's Resistance Army (LRA) stole from the village."
279,Unknown,
280,Unknown,
281,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) targeted the victims because they refused to fight the military."
282,Islamic State of Iraq and the Levant (ISIL),
283,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) targeted the victims for attempting to flee the area."
284,Palestinian Extremists,
285,Unknown,
286,Sinai Province of the Islamic State,
287,Unknown,"The specific motive is unknown; however, sources posited that the attack was carried out in retaliation for the Saudi government's execution of Shi'ite cleric Sheikh Nimr al-Nimr and 46 others."
288,Unknown,
289,Unknown,
290,Unknown,
291,Unknown,
292,Unknown,"The specific motive is unknown; however, sources noted that the attack was Islamophobic."
293,Unknown,
294,Sinai Province of the Islamic State,
295,Al-Shabaab,
296,Adan-Abyan Province of the Islamic State,
297,Unknown,
298,Barqa Province of the Islamic State,
299,Unknown,
300,Unknown,
301,Unknown,
302,Unknown,
303,Unknown,
304,Unknown,
305,Unknown,
306,Unknown,
307,Islamic State of Iraq and the Levant (ISIL),
308,Unknown,
309,Houthi extremists (Ansar Allah),"The specific motive is unknown; however, sources posited that the victim was targeted for failing to prevent the advance of military personnel."
310,Houthi extremists (Ansar Allah),
311,Boko Haram,
312,Unknown,
313,Al-Nusrah Front,Al-Nusrah Front claimed responsibility for the incident and stated that the Radio Fresh employees were targeted for playing music.
314,Kurdistan Workers' Party (PKK),
315,Unknown,
316,Unknown,
317,Unknown,
318,Unknown,
319,Islamic State of Iraq and the Levant (ISIL),
320,Unknown,
321,Sinai Province of the Islamic State,"The specific motive is unknown; however, sources posited that the Sinai Province of the Islamic State demanded that the victims not cooperate with security personnel."
322,Maoists,
323,Unknown,
324,Unknown,
325,Muslim extremists,
326,Misrata Brigades,
327,Unknown,
328,Taliban,
329,Taliban,
330,Taliban,
331,Tripoli Province of the Islamic State,
332,Islamic State of Iraq and the Levant (ISIL),
333,Unknown,
334,Unknown,
335,Allied Democratic Forces (ADF),
336,Unknown,
337,Unknown,
338,Islamic State of Iraq and the Levant (ISIL),"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) targeted the victim for providing intelligence to Peshmerga personnel."
339,Palestinian Extremists,
340,Jihadi-inspired extremists,"The specific motive is unknown; however, authorities stated that the assailant carried out the attack in order to demonstrate his allegiance to the Islamic State of Iraq and the Levant (ISIL) and that he could execute ""ISIL"" attacks."
341,Muslim extremists,
342,Jihadi-inspired extremists,An unidentified individual claimed responsibility for the incident and stated that he believed France did not respect Islam and protected Jewish civilians. He also asserted that he carried out the attack on behalf of the Islamic State of Iraq and the Levant (ISIL).
343,Tehrik-i-Taliban Pakistan (TTP),
344,Taliban,
345,Islamic State of Iraq and the Levant (ISIL),
346,Islamic State of Iraq and the Levant (ISIL),
347,Islamic State of Iraq and the Levant (ISIL),
348,Unknown,
349,Islamic State of Iraq and the Levant (ISIL),
350,Unknown,
351,Islamic State of Iraq and the Levant (ISIL),
352,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
353,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
354,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
355,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
356,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
357,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
358,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
359,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
360,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
361,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
362,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
363,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
364,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
365,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
366,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
367,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
368,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
369,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
370,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
371,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
372,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
373,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
374,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
375,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
376,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
377,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
378,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
379,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
380,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
381,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
382,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
383,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
384,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
385,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
386,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
387,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
388,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
389,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
390,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
391,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
392,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
393,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
394,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
395,Unknown,
396,Unknown,
397,Unknown,
398,Unknown,
399,Unknown,
400,Unknown,
401,Unknown,
402,Islamic State of Iraq and the Levant (ISIL),
403,Unknown,
404,Baloch Liberation Front (BLF),
405,Baloch Republican Army (BRA),
406,Unknown,
407,Boko Haram,
408,Unknown,
409,Al-Qaida in the Arabian Peninsula (AQAP),
410,Islamic State of Iraq and the Levant (ISIL),
411,Unknown,
412,Unknown,
413,Unknown,
414,Unknown,
415,Unknown,
416,Palestinian Extremists,
417,Taliban,
418,Unknown,
419,Unknown,
420,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
421,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
422,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
423,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
424,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
425,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
426,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
427,Asa'ib Ahl al-Haqq,"The specific motive is unknown; however, sources suspected that the attack, which targeted members of the Sunni community, may have been part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities."
428,Islamic State of Iraq and the Levant (ISIL),
429,Unknown,
430,Islamic State of Iraq and the Levant (ISIL),
431,People's Liberation Front of India,
432,Unknown,
433,Unknown,
434,Unknown,
435,People's Liberation Front of India,"The specific motive is unknown; however, sources posited that the attack was related to an extortion demand by the People's Liberation Front of India."
436,Khorasan Chapter of the Islamic State,
437,Unknown,
438,Tehrik-i-Taliban Pakistan (TTP),Jaish-e-Islam claimed responsibility for the incident and stated that the attack was carried out in retaliation for the torture of those being held by security personnel.
439,Unknown,
440,Khorasan Chapter of the Islamic State,The Khorasan Chapter of the Islamic State claimed responsibility for the incident and stated that ARY News Digital Network was targeted in retaliation for the station's alleged pro-government coverage of recent military operations.
441,Al-Shabaab,
442,Barqa Province of the Islamic State,
443,Unknown,
444,Boko Haram,
445,Boko Haram,
446,Allied Democratic Forces (ADF),
447,Allied Democratic Forces (ADF),
448,Taliban,
449,Unknown,
450,Unknown,
451,Unknown,
452,Unknown,
453,Houthi extremists (Ansar Allah),
454,Houthi extremists (Ansar Allah),
455,Unknown,
456,Unknown,
457,Unknown,
458,Unknown,
459,Unknown,
460,Unknown,
461,Islamic State of Iraq and the Levant (ISIL),
462,Al-Aqsa Martyrs Brigade,
463,Achik Songna An'pachakgipa Kotok (ASAK),
464,Unknown,
465,Maoists,
466,Taliban,
467,Taliban,
468,Islamic State of Iraq and the Levant (ISIL),
469,Unknown,
470,Unknown,
471,Unknown,
472,Unknown,
473,Unknown,
474,Jamaah Ansharut Daulah,
475,Jamaah Ansharut Daulah,
476,Jamaah Ansharut Daulah,
477,Sinai Province of the Islamic State,
478,Unknown,
479,Unknown,
480,Kurdistan Workers' Party (PKK),
481,Unknown,
482,Barqa Province of the Islamic State,
483,Unknown,
484,Barqa Province of the Islamic State,"The specific motive is unknown; however, sources suspected that the attack was intended to control or destabilize Libya's oil infrastructure."
485,Barqa Province of the Islamic State,"The specific motive is unknown; however, sources suspected that the attack was intended to control or destabilize Libya's oil infrastructure."
486,Bangsamoro Islamic Freedom Movement (BIFM),
487,Unknown,
488,Tripoli Province of the Islamic State,
489,Tripoli Province of the Islamic State,
490,Tripoli Province of the Islamic State,
491,Tripoli Province of the Islamic State,
492,Unknown,
